medicare_hospital_spending_per_patient_id,provider_id,measure_name,measure_id,score,footnote,measure_start_date,measure_end_date
G1235,10069,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.72,,1/1/13,12/31/13
G1236,10073,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1237,10078,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.78,,1/1/13,12/31/13
G1238,10079,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.74,,1/1/13,12/31/13
G1239,10083,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.82,,1/1/13,12/31/13
G1240,10085,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.81,,1/1/13,12/31/13
G1241,10086,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1242,10087,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1243,10089,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1244,10090,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1245,10091,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1246,10092,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1247,10095,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1248,10097,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1249,10099,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1250,10100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.8,,1/1/13,12/31/13
G1251,10101,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1252,10102,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1253,10103,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1254,10104,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.12,,1/1/13,12/31/13
G1255,10108,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1256,10109,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,,1/1/13,12/31/13
G1257,10110,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1258,10112,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1259,10113,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1260,10114,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.3,,1/1/13,12/31/13
G1261,10118,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1262,10120,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1263,10125,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1264,10126,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1265,10128,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1266,10129,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1267,10130,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1268,101300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.1,,1/1/13,12/31/13
G1269,101301,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1270,101302,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.08,,1/1/13,12/31/13
G1271,101303,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1272,101304,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1273,101305,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1274,101307,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1275,101308,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.18,,1/1/13,12/31/13
G1276,101309,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1277,10131,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.25,,1/1/13,12/31/13
G1278,101310,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1279,101311,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1280,101312,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.76,,1/1/13,12/31/13
G1281,101313,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.81,,1/1/13,12/31/13
G1282,10138,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1283,10139,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1284,10144,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1285,10146,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1286,10148,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1287,10149,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1288,10150,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1289,10157,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1290,10158,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1291,10164,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1292,10168,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1293,10169,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1294,110001,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1295,110002,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1296,110003,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1297,110004,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.13,,1/1/13,12/31/13
G1298,110005,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1299,110006,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1300,110007,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1301,110008,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,NULL,1 - The number of cases/patients is too few to report.,1/1/13,12/31/13
G1302,110010,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1303,110011,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1304,110015,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.41,,1/1/13,12/31/13
G1305,110016,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1306,110018,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1307,110023,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1308,110024,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1309,110025,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.1,,1/1/13,12/31/13
G1310,110026,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1311,110027,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.11,,1/1/13,12/31/13
G1312,110028,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1313,110029,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1314,110030,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.82,,1/1/13,12/31/13
G1315,110031,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1316,110032,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1317,110034,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1318,110035,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1319,110036,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1320,110038,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1321,110039,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1322,110040,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1323,110041,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1324,110042,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1325,110043,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1326,110044,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1327,110045,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1328,110046,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1329,110050,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.17,,1/1/13,12/31/13
G1330,110051,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1331,110054,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/13,12/31/13
G1332,110064,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1333,110069,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.22,,1/1/13,12/31/13
G1334,110071,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1335,110073,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1336,110074,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1337,110075,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1338,110076,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1339,110078,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1340,110079,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1341,110082,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/13,12/31/13
G1342,110083,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1343,110086,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/13,12/31/13
G1344,110087,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1345,110089,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1346,110091,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1347,110092,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1348,110095,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1349,110100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1350,110101,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1351,110104,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1352,110105,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.08,,1/1/13,12/31/13
G1353,110107,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1354,110109,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.84,,1/1/13,12/31/13
G1355,110111,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1356,110113,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1357,110115,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1358,110121,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,NULL,1 - The number of cases/patients is too few to report.,1/1/13,12/31/13
G1359,110122,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.1,,1/1/13,12/31/13
G1360,110124,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1361,110125,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.84,,1/1/13,12/31/13
G1362,110128,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1363,110129,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1364,110130,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1365,110132,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1366,110135,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1367,110142,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1368,110143,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1369,110146,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1370,110150,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1371,110153,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,,1/1/13,12/31/13
G1372,110161,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1373,110164,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1374,110165,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,,1/1/13,12/31/13
G1375,110168,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1376,110177,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1377,110183,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.79,,1/1/13,12/31/13
G1378,110184,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1379,110186,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1380,110187,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/13,12/31/13
G1381,110189,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.85,,1/1/13,12/31/13
G1382,110190,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1383,110191,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1384,110192,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.85,,1/1/13,12/31/13
G1385,110194,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.08,,1/1/13,12/31/13
G1386,110198,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1387,110200,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1388,110201,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1389,110203,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1390,110205,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,,1/1/13,12/31/13
G1391,110209,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1392,110215,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1393,110225,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1394,110226,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1395,110229,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.31,,1/1/13,12/31/13
G1396,110230,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1397,110233,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1398,110234,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1399,11029,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1400,11030,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1401,11031,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1402,111300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1403,111302,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1404,111303,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1405,111304,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1406,111305,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.78,,1/1/13,12/31/13
G1407,111306,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1408,111308,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.76,,1/1/13,12/31/13
G1409,111310,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,1/1/13,12/31/13
G1410,111313,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1411,111314,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1412,111316,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.21,,1/1/13,12/31/13
G1413,111318,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,1/1/13,12/31/13
G1414,111319,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1415,111320,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1416,111321,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1417,111324,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.16,,1/1/13,12/31/13
G1418,111325,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,NULL,1 - The number of cases/patients is too few to report.,1/1/13,12/31/13
G1419,111326,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,NULL,1 - The number of cases/patients is too few to report.,1/1/13,12/31/13
G1420,111327,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.69,,1/1/13,12/31/13
G1421,111328,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.53,,1/1/13,12/31/13
G1422,111329,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,1/1/13,12/31/13
G1423,111330,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,,1/1/13,12/31/13
G1424,111331,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1425,111332,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1426,111333,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1427,111334,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1428,111335,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1429,111336,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1430,11300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1431,11302,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.32,,1/1/13,12/31/13
G1432,11304,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.17,,1/1/13,12/31/13
G1433,120001,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.15,,1/1/13,12/31/13
G1434,120002,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
G1435,120004,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.19,,1/1/13,12/31/13
G1436,120005,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,1/1/13,12/31/13
G1437,120006,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1438,120007,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.08,,1/1/13,12/31/13
G1439,120011,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1440,120014,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1441,120019,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.8,,1/1/13,12/31/13
G1442,120022,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/13,12/31/13
G1443,120026,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.79,,1/1/13,12/31/13
G1444,120028,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1445,121300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.63,,1/1/13,12/31/13
G1446,121301,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1447,121303,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,1/1/13,12/31/13
G1448,121304,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1449,121306,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,1/1/13,12/31/13
G1450,121308,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
G1451,130002,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.36,,1/1/13,12/31/13
G1452,130003,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.51,,1/1/13,12/31/13
G1453,130006,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1454,130007,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.78,,1/1/13,12/31/13
G1455,130013,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1456,130014,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,1/1/13,12/31/13
G1457,130018,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.84,,1/1/13,12/31/13
G1458,130025,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1459,130028,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1460,13003,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1461,130049,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1462,130063,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1463,130065,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1464,130066,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.13,,1/1/13,12/31/13
G1465,130067,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,1/1/13,12/31/13
G1466,131301,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,1/1/13,12/31/13
G1467,131302,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.84,,1/1/13,12/31/13
G1468,131303,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1469,131304,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,1/1/13,12/31/13
