timely_and_effective_care_id,provider_id,condition,measure_id,measure_name,score,sample,footnote,measure_start_date,measure_end_date
N100155,100256,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100156,100258,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100157,100259,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100158,100260,Emergency Department,ED_1b,ED1,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100159,100264,Emergency Department,ED_2b,ED2,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N10016,100265,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100160,100266,Heart Failure,HF_1,Discharge instructions,100,19,,10/1/12,9/30/13
N100161,100267,Heart Failure,HF_2,Evaluation of LVS Function,95,20,,10/1/12,9/30/13
N100162,100268,Heart Failure,HF_3,ACEI or ARB for LVSD,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100163,100269,Preventive Care,IMM_1a,Immunization for pneumonia,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100164,100271,Preventive Care,IMM_2,Immunization for influenza,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,3/31/13
N100165,100275,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100166,100276,Emergency Department,OP_18b,OP 18,99,421,,10/1/12,9/30/13
N100167,100277,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100168,100281,Emergency Department,OP_20,Door to diagnostic eval,28,459,,10/1/12,9/30/13
N100169,100284,Emergency Department,OP_21,Median time to pain med,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N10017,100285,Emergency Department,OP_20,Door to diagnostic eval,24,1046,,10/1/12,9/30/13
N100170,100286,Emergency Department,OP_22,Left before being seen,NULL,NULL,5 - Results are not available for this reporting period.,1/1/12,12/31/12
N100171,100287,Emergency Department,OP_23,Head CT results,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100172,100288,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100173,100289,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,98,60,,10/1/12,9/30/13
N100174,10029,Heart Attack or Chest Pain,OP_5,Median Time to ECG,5,65,,10/1/12,9/30/13
N100175,100290,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,89,47,,10/1/12,9/30/13
N100176,100291,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,100,46,,10/1/12,9/30/13
N100177,100292,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100178,100296,Pneumonia,PN_3b,Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,82,28,,10/1/12,9/30/13
N100179,100299,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,78,23,,10/1/12,9/30/13
N10018,100302,Emergency Department,OP_21,Median time to pain med,80,25,,10/1/12,9/30/13
N100180,100307,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100181,100313,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100182,100314,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100183,100315,Surgical Care Improvement Project,SCIP_INF_2,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100184,100316,Surgical Care Improvement Project,SCIP_INF_3,Prophylactic antibiotics discontinued within 24 hours after surgery end time,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100185,100319,Surgical Care Improvement Project,SCIP_INF_4,Cardiac Surgery Patients With Controlled 6 A.M. Postoperative Blood Glucose,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100186,10032,Surgical Care Improvement Project,SCIP_INF_9,Postoperative Urinary Catheter Removal,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100187,10033,Surgical Care Improvement Project,SCIP_VTE_2,Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100188,10034,Stroke Care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100189,10035,Stroke Care,STK_10,Assessed for Rehabilitation,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N10019,10036,Emergency Department,OP_22,Left before being seen,2,4773,,1/1/12,12/31/12
N100190,10038,Stroke Care,STK_2,Discharged on Antithrombotic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100191,10039,Stroke Care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100192,10040,Stroke Care,STK_4,Thrombolytic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100193,10044,Stroke Care,STK_5,Antithrombotic Therapy by End of Hospital Day 2 ,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100194,10045,Stroke Care,STK_6,Discharged on Statin Medication,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100195,10046,Stroke Care,STK_8,Stroke Education,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100196,10047,Blood Clot Prevention and Treatment,VTE_1,Venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100197,10049,Blood Clot Prevention and Treatment,VTE_2,ICU venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100198,10051,Blood Clot Prevention and Treatment,VTE_3,Anticoagulation overlap therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100199,10052,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N1002,10054,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N10020,10055,Emergency Department,OP_23,Head CT results,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100200,10056,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100201,10057,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100202,10058,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100203,10059,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100204,10061,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100205,10062,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100206,10063,Emergency Department,ED_1b,ED1,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100207,10064,Emergency Department,ED_2b,ED2,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100208,10065,Heart Failure,HF_1,Discharge instructions,96,57,,10/1/12,9/30/13
N100209,10065,Heart Failure,HF_2,Evaluation of LVS Function,100,75,,10/1/12,9/30/13
N10021,10066,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100210,10069,Heart Failure,HF_3,ACEI or ARB for LVSD,100,12,,10/1/12,9/30/13
N100211,10073,Preventive Care,IMM_1a,Immunization for pneumonia,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100212,10078,Preventive Care,IMM_2,Immunization for influenza,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,3/31/13
N100213,10079,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100214,10083,Emergency Department,OP_18b,OP 18,139,404,,10/1/12,9/30/13
N100215,10085,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100216,10086,Emergency Department,OP_20,Door to diagnostic eval,33,369,,10/1/12,9/30/13
N100217,10087,Emergency Department,OP_21,Median time to pain med,66,73,,10/1/12,9/30/13
N100218,10089,Emergency Department,OP_22,Left before being seen,NULL,NULL,5 - Results are not available for this reporting period.,1/1/12,12/31/12
N100219,10090,Emergency Department,OP_23,Head CT results,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N10022,10091,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,86,42,,10/1/12,9/30/13
N100220,10092,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100221,10095,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,100,144,,10/1/12,9/30/13
N100222,10097,Heart Attack or Chest Pain,OP_5,Median Time to ECG,10,154,,10/1/12,9/30/13
N100223,10099,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100224,10100,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100225,10101,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",1/1/13,9/30/13
N100226,10102,Pneumonia,PN_3b,Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,97,38,,10/1/12,9/30/13
N100227,10103,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,100,23,,10/1/12,9/30/13
N100228,10104,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100229,10108,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N10023,10109,Heart Attack or Chest Pain,OP_5,Median Time to ECG,11,37,,10/1/12,9/30/13
N100230,10110,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100231,10112,Surgical Care Improvement Project,SCIP_INF_2,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100232,10113,Surgical Care Improvement Project,SCIP_INF_3,Prophylactic antibiotics discontinued within 24 hours after surgery end time,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100233,10114,Surgical Care Improvement Project,SCIP_INF_4,Cardiac Surgery Patients With Controlled 6 A.M. Postoperative Blood Glucose,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100234,10118,Surgical Care Improvement Project,SCIP_INF_9,Postoperative Urinary Catheter Removal,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100235,10120,Surgical Care Improvement Project,SCIP_VTE_2,Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100236,10125,Stroke Care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100237,10126,Stroke Care,STK_10,Assessed for Rehabilitation,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100238,10128,Stroke Care,STK_2,Discharged on Antithrombotic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100239,10129,Stroke Care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N10024,10130,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100240,101300,Stroke Care,STK_4,Thrombolytic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100241,101301,Stroke Care,STK_5,Antithrombotic Therapy by End of Hospital Day 2 ,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100242,101302,Stroke Care,STK_6,Discharged on Statin Medication,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100243,101303,Stroke Care,STK_8,Stroke Education,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100244,101304,Blood Clot Prevention and Treatment,VTE_1,Venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100245,101305,Blood Clot Prevention and Treatment,VTE_2,ICU venous thromboembolism prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100246,101307,Blood Clot Prevention and Treatment,VTE_3,Anticoagulation overlap therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100247,101308,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100248,101309,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100249,10131,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N10025,101310,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100250,101311,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100251,101312,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100252,101313,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100253,10138,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100254,10139,Emergency Department,ED_1b,ED1,230,544,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100255,10144,Emergency Department,ED_2b,ED2,45,542,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100256,10146,Heart Failure,HF_1,Discharge instructions,100,34,,10/1/12,9/30/13
N100257,10148,Heart Failure,HF_2,Evaluation of LVS Function,98,49,,10/1/12,9/30/13
N100258,10149,Heart Failure,HF_3,ACEI or ARB for LVSD,100,14,,10/1/12,9/30/13
N100259,10150,Preventive Care,IMM_1a,Immunization for pneumonia,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N10026,10157,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",NULL,0,7 - No cases met the criteria for this measure.,1/1/13,9/30/13
N100260,10158,Preventive Care,IMM_2,Immunization for influenza,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,3/31/13
N100261,10164,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100262,10168,Emergency Department,OP_18b,OP 18,114,445,,10/1/12,9/30/13
N100263,10169,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100264,110001,Emergency Department,OP_20,Door to diagnostic eval,39,472,,10/1/12,9/30/13
N100265,110002,Emergency Department,OP_21,Median time to pain med,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100266,110003,Emergency Department,OP_22,Left before being seen,NULL,NULL,5 - Results are not available for this reporting period.,1/1/12,12/31/12
N100267,110004,Emergency Department,OP_23,Head CT results,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100268,110005,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100269,110006,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,100,29,,10/1/12,9/30/13
N10027,110007,Pneumonia,PN_3b,Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",10/1/12,9/30/13
N100270,110008,Heart Attack or Chest Pain,OP_5,Median Time to ECG,6,30,,10/1/12,9/30/13
N100271,110010,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100272,110011,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100273,110015,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100274,110016,Pneumonia,PN_3b,Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,97,34,,10/1/12,9/30/13
N100275,110018,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,100,24,,10/1/12,9/30/13
N100276,110023,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,100,27,,10/1/12,9/30/13
N100277,110024,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,100,39,,10/1/12,9/30/13
N100278,110025,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,100,55,,10/1/12,9/30/13
N100279,110026,Surgical Care Improvement Project,SCIP_INF_2,Prophylactic Antibiotic Selection for Surgical Patients,97,39,,10/1/12,9/30/13
N10028,110027,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,96,46,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100280,110028,Surgical Care Improvement Project,SCIP_INF_3,Prophylactic antibiotics discontinued within 24 hours after surgery end time,92,39,,10/1/12,9/30/13
N100281,110029,Surgical Care Improvement Project,SCIP_INF_4,Cardiac Surgery Patients With Controlled 6 A.M. Postoperative Blood Glucose,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100282,110030,Surgical Care Improvement Project,SCIP_INF_9,Postoperative Urinary Catheter Removal,98,42,,10/1/12,9/30/13
N100283,110031,Surgical Care Improvement Project,SCIP_VTE_2,Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,100,46,,10/1/12,9/30/13
N100284,110032,Stroke Care,STK_1,Venous Thromboembolism (VTE) Prophylaxis,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100285,110034,Stroke Care,STK_10,Assessed for Rehabilitation,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100286,110035,Stroke Care,STK_2,Discharged on Antithrombotic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100287,110036,Stroke Care,STK_3,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100288,110038,Stroke Care,STK_4,Thrombolytic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100289,110039,Stroke Care,STK_5,Antithrombotic Therapy by End of Hospital Day 2 ,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N10029,110040,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100290,110041,Stroke Care,STK_6,Discharged on Statin Medication,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100291,110042,Stroke Care,STK_8,Stroke Education,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100292,110043,Blood Clot Prevention and Treatment,VTE_1,Venous thromboembolism prophylaxis,75,306,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N100293,110044,Blood Clot Prevention and Treatment,VTE_2,ICU venous thromboembolism prophylaxis,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100294,110045,Blood Clot Prevention and Treatment,VTE_3,Anticoagulation overlap therapy,100,14,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N100295,110046,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100296,110050,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100297,110051,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,NULL,0,"2 - Data submitted were based on a sample of cases/patients., 7 - No cases met the criteria for this measure.",1/1/13,9/30/13
N100298,110054,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100299,110064,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N1003,110069,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,91,35,,10/1/12,9/30/13
N10030,110071,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100300,110073,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100301,110074,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100302,110075,Emergency Department,ED_1b,ED1,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100303,110076,Emergency Department,ED_2b,ED2,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100304,110078,Heart Failure,HF_1,Discharge instructions,100,29,,10/1/12,9/30/13
N100305,110079,Heart Failure,HF_2,Evaluation of LVS Function,100,37,,10/1/12,9/30/13
N100306,110082,Heart Failure,HF_3,ACEI or ARB for LVSD,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100307,110083,Preventive Care,IMM_1a,Immunization for pneumonia,83,213,"2 - Data submitted were based on a sample of cases/patients., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100308,110086,Preventive Care,IMM_2,Immunization for influenza,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,3/31/13
N100309,110087,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N10031,110089,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100310,110091,Emergency Department,OP_18b,OP 18,157,412,,10/1/12,9/30/13
N100311,110092,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100312,110095,Emergency Department,OP_20,Door to diagnostic eval,39,430,,10/1/12,9/30/13
N100313,110100,Emergency Department,OP_21,Median time to pain med,59,52,3 - Results are based on a shorter time period than required.,10/1/12,9/30/13
N100314,110101,Emergency Department,OP_22,Left before being seen,NULL,NULL,5 - Results are not available for this reporting period.,1/1/12,12/31/12
N100315,110104,Emergency Department,OP_23,Head CT results,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N100316,110105,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100317,110107,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,100,39,,10/1/12,9/30/13
N100318,110109,Heart Attack or Chest Pain,OP_5,Median Time to ECG,8,39,,10/1/12,9/30/13
N100319,110111,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,100,19,,10/1/12,9/30/13
