hospital_associated_infection_id,provider_id,measure_name,measure_id,compared_to_national,score,footnote,measure_start_date,measure_end_date
H100160,100266,SSI: Colon Observed Cases,HAI_3_NUMERATOR,No Different than U.S. National Benchmark,3,,10/1/12,9/30/13
H100161,100267,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,No Different than U.S. National Benchmark,2.193,,10/1/12,9/30/13
H100162,100268,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100163,100269,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100164,100271,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,9,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100165,100275,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,0.061,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100166,100276,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100167,100277,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100168,100281,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100169,100284,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H10017,100285,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100170,100286,MRSA Patient Days,HAI_5_DOPC_DAYS,NULL,17566,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100171,100287,MRSA Predicted Cases,HAI_5_ELIGCASES,NULL,0.841,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100172,100288,MRSA Observed Cases,HAI_5_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100173,100289,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100174,10029,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than U.S. National Benchmark,0.254,,1/1/13,9/30/13
H100175,100290,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than U.S. National Benchmark,1.505,,1/1/13,9/30/13
H100176,100291,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than U.S. National Benchmark,16566,,1/1/13,9/30/13
H100177,100292,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than U.S. National Benchmark,8.677,,1/1/13,9/30/13
H100178,100296,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than U.S. National Benchmark,6,,1/1/13,9/30/13
H100179,100299,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than U.S. National Benchmark,0.691,,1/1/13,9/30/13
H10018,100302,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100180,100307,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,Better than the U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100181,100313,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,Better than the U.S. National Benchmark,0.961,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100182,100314,CLABSI Central Line Days,HAI_1_DOPC_DAYS,Better than the U.S. National Benchmark,2077,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100183,100315,CLABSI Predicted Cases,HAI_1_ELIGCASES,Better than the U.S. National Benchmark,3.117,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100184,100316,CLABSI Observed Cases,HAI_1_NUMERATOR,Better than the U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100185,100319,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,Better than the U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100186,10032,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,Better than the U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100187,10033,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,Better than the U.S. National Benchmark,0.769,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100188,10034,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,Better than the U.S. National Benchmark,2998,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100189,10035,CAUTI Predicted Cases,HAI_2_ELIGCASES,Better than the U.S. National Benchmark,3.898,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H10019,10036,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100190,10038,CAUTI Observed Cases,HAI_2_NUMERATOR,Better than the U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100191,10039,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,Better than the U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100192,10040,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100193,10044,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,No Different than U.S. National Benchmark,1.771,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100194,10045,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,No Different than U.S. National Benchmark,54,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100195,10046,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,No Different than U.S. National Benchmark,1.692,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100196,10047,SSI: Colon Observed Cases,HAI_3_NUMERATOR,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100197,10049,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,No Different than U.S. National Benchmark,0,8 - The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,10/1/12,9/30/13
H100198,10051,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100199,10052,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H1002,10054,CLABSI Central Line Days,HAI_1_DOPC_DAYS,No Different than U.S. National Benchmark,2901,,10/1/12,9/30/13
H10020,10055,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100200,10056,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,7,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100201,10057,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,0.053,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100202,10058,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100203,10059,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100204,10061,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,No Different than U.S. National Benchmark,0.018,,1/1/13,9/30/13
H100205,10062,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,No Different than U.S. National Benchmark,4.008,,1/1/13,9/30/13
H100206,10063,MRSA Patient Days,HAI_5_DOPC_DAYS,No Different than U.S. National Benchmark,29018,,1/1/13,9/30/13
H100207,10064,MRSA Predicted Cases,HAI_5_ELIGCASES,No Different than U.S. National Benchmark,1.39,,1/1/13,9/30/13
H100208,10065,MRSA Observed Cases,HAI_5_NUMERATOR,No Different than U.S. National Benchmark,1,,1/1/13,9/30/13
H100209,10065,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,No Different than U.S. National Benchmark,0.719,,1/1/13,9/30/13
H10021,10066,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100210,10069,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than U.S. National Benchmark,0.765,,1/1/13,9/30/13
H100211,10073,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than U.S. National Benchmark,1.986,,1/1/13,9/30/13
H100212,10078,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than U.S. National Benchmark,29018,,1/1/13,9/30/13
H100213,10079,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than U.S. National Benchmark,14.939,,1/1/13,9/30/13
H100214,10083,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than U.S. National Benchmark,19,,1/1/13,9/30/13
H100215,10085,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than U.S. National Benchmark,1.272,,1/1/13,9/30/13
H100216,10086,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,Better than the U.S. National Benchmark,0.369,,10/1/12,9/30/13
H100217,10087,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,Better than the U.S. National Benchmark,0.872,,10/1/12,9/30/13
H100218,10089,CLABSI Central Line Days,HAI_1_DOPC_DAYS,Better than the U.S. National Benchmark,16749,,10/1/12,9/30/13
H100219,10090,CLABSI Predicted Cases,HAI_1_ELIGCASES,Better than the U.S. National Benchmark,36.191,,10/1/12,9/30/13
H10022,10091,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100220,10092,CLABSI Observed Cases,HAI_1_NUMERATOR,Better than the U.S. National Benchmark,21,,10/1/12,9/30/13
H100221,10095,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,Better than the U.S. National Benchmark,0.58,,10/1/12,9/30/13
H100222,10097,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,Worse than the U.S. National Benchmark,1.549,,10/1/12,9/30/13
H100223,10099,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,Worse than the U.S. National Benchmark,2.237,,10/1/12,9/30/13
H100224,10100,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,Worse than the U.S. National Benchmark,23426,,10/1/12,9/30/13
H100225,10101,CAUTI Predicted Cases,HAI_2_ELIGCASES,Worse than the U.S. National Benchmark,60.976,,10/1/12,9/30/13
H100226,10102,CAUTI Observed Cases,HAI_2_NUMERATOR,Worse than the U.S. National Benchmark,114,,10/1/12,9/30/13
H100227,10103,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,Worse than the U.S. National Benchmark,1.87,,10/1/12,9/30/13
H100228,10104,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,Worse than the U.S. National Benchmark,1.032,,10/1/12,9/30/13
H100229,10108,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,Worse than the U.S. National Benchmark,2.347,,10/1/12,9/30/13
H10023,10109,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100230,10110,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,Worse than the U.S. National Benchmark,481,,10/1/12,9/30/13
H100231,10112,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,Worse than the U.S. National Benchmark,14.473,,10/1/12,9/30/13
H100232,10113,SSI: Colon Observed Cases,HAI_3_NUMERATOR,Worse than the U.S. National Benchmark,23,,10/1/12,9/30/13
H100233,10114,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,Worse than the U.S. National Benchmark,1.589,,10/1/12,9/30/13
H100234,10118,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,No Different than U.S. National Benchmark,0.182,,10/1/12,9/30/13
H100235,10120,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,No Different than U.S. National Benchmark,1.947,,10/1/12,9/30/13
H100236,10125,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,No Different than U.S. National Benchmark,511,,10/1/12,9/30/13
H100237,10126,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,No Different than U.S. National Benchmark,4.193,,10/1/12,9/30/13
H100238,10128,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,No Different than U.S. National Benchmark,3,,10/1/12,9/30/13
H100239,10129,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,No Different than U.S. National Benchmark,0.715,,10/1/12,9/30/13
H10024,10130,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100240,101300,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,No Different than U.S. National Benchmark,0.703,,1/1/13,9/30/13
H100241,101301,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,No Different than U.S. National Benchmark,1.876,,1/1/13,9/30/13
H100242,101302,MRSA Patient Days,HAI_5_DOPC_DAYS,No Different than U.S. National Benchmark,184821,,1/1/13,9/30/13
H100243,101303,MRSA Predicted Cases,HAI_5_ELIGCASES,No Different than U.S. National Benchmark,15.166,,1/1/13,9/30/13
H100244,101304,MRSA Observed Cases,HAI_5_NUMERATOR,No Different than U.S. National Benchmark,18,,1/1/13,9/30/13
H100245,101305,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,No Different than U.S. National Benchmark,1.187,,1/1/13,9/30/13
H100246,101307,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,Worse than the U.S. National Benchmark,1.336,,1/1/13,9/30/13
H100247,101308,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,Worse than the U.S. National Benchmark,1.735,,1/1/13,9/30/13
H100248,101309,C.diff Patient Days,HAI_6_DOPC_DAYS,Worse than the U.S. National Benchmark,180273,,1/1/13,9/30/13
H100249,10131,C.diff Predicted Cases,HAI_6_ELIGCASES,Worse than the U.S. National Benchmark,152.053,,1/1/13,9/30/13
H10025,101310,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100250,101311,C.diff Observed Cases,HAI_6_NUMERATOR,Worse than the U.S. National Benchmark,232,,1/1/13,9/30/13
H100251,101312,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,Worse than the U.S. National Benchmark,1.526,,1/1/13,9/30/13
H100252,101313,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,No Different than U.S. National Benchmark,0.046,,10/1/12,9/30/13
H100253,10138,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,No Different than U.S. National Benchmark,4.512,,10/1/12,9/30/13
H100254,10139,CLABSI Central Line Days,HAI_1_DOPC_DAYS,No Different than U.S. National Benchmark,728,,10/1/12,9/30/13
H100255,10144,CLABSI Predicted Cases,HAI_1_ELIGCASES,No Different than U.S. National Benchmark,1.093,,10/1/12,9/30/13
H100256,10146,CLABSI Observed Cases,HAI_1_NUMERATOR,No Different than U.S. National Benchmark,1,,10/1/12,9/30/13
H100257,10148,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,No Different than U.S. National Benchmark,0.915,,10/1/12,9/30/13
H100258,10149,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,No Different than U.S. National Benchmark,0.78,,10/1/12,9/30/13
H100259,10150,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,No Different than U.S. National Benchmark,5.919,,10/1/12,9/30/13
H10026,10157,MRSA Patient Days,HAI_5_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100260,10158,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,No Different than U.S. National Benchmark,1254,,10/1/12,9/30/13
H100261,10164,CAUTI Predicted Cases,HAI_2_ELIGCASES,No Different than U.S. National Benchmark,1.63,,10/1/12,9/30/13
H100262,10168,CAUTI Observed Cases,HAI_2_NUMERATOR,No Different than U.S. National Benchmark,4,,10/1/12,9/30/13
H100263,10169,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,No Different than U.S. National Benchmark,2.454,,10/1/12,9/30/13
H100264,110001,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100265,110002,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100266,110003,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,NULL,17,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100267,110004,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,NULL,0.55,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100268,110005,SSI: Colon Observed Cases,HAI_3_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100269,110006,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H10027,110007,MRSA Predicted Cases,HAI_5_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100270,110008,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100271,110010,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100272,110011,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,15,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100273,110015,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,0.136,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100274,110016,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100275,110018,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100276,110023,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,No Different than U.S. National Benchmark,0.096,,1/1/13,9/30/13
H100277,110024,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,No Different than U.S. National Benchmark,2.85,,1/1/13,9/30/13
H100278,110025,MRSA Patient Days,HAI_5_DOPC_DAYS,No Different than U.S. National Benchmark,31282,,1/1/13,9/30/13
H100279,110026,MRSA Predicted Cases,HAI_5_ELIGCASES,No Different than U.S. National Benchmark,2.535,,1/1/13,9/30/13
H10028,110027,MRSA Observed Cases,HAI_5_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100280,110028,MRSA Observed Cases,HAI_5_NUMERATOR,No Different than U.S. National Benchmark,2,,1/1/13,9/30/13
H100281,110029,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,No Different than U.S. National Benchmark,0.789,,1/1/13,9/30/13
H100282,110030,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,Better than the U.S. National Benchmark,0.163,,1/1/13,9/30/13
H100283,110031,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,Better than the U.S. National Benchmark,0.838,,1/1/13,9/30/13
H100284,110032,C.diff Patient Days,HAI_6_DOPC_DAYS,Better than the U.S. National Benchmark,31282,,1/1/13,9/30/13
H100285,110034,C.diff Predicted Cases,HAI_6_ELIGCASES,Better than the U.S. National Benchmark,17.214,,1/1/13,9/30/13
H100286,110035,C.diff Observed Cases,HAI_6_NUMERATOR,Better than the U.S. National Benchmark,7,,1/1/13,9/30/13
H100287,110036,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,Better than the U.S. National Benchmark,0.407,,1/1/13,9/30/13
H100288,110038,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100289,110039,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H10029,110040,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100290,110041,CLABSI Central Line Days,HAI_1_DOPC_DAYS,NULL,40,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100291,110042,CLABSI Predicted Cases,HAI_1_ELIGCASES,NULL,0.06,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100292,110043,CLABSI Observed Cases,HAI_1_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100293,110044,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100294,110045,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100295,110046,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100296,110050,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,NULL,307,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100297,110051,CAUTI Predicted Cases,HAI_2_ELIGCASES,NULL,0.399,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100298,110054,CAUTI Observed Cases,HAI_2_NUMERATOR,NULL,1,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100299,110064,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H1003,110069,CLABSI Predicted Cases,HAI_1_ELIGCASES,No Different than U.S. National Benchmark,4.353,,10/1/12,9/30/13
H10030,110071,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100300,110073,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100301,110074,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100302,110075,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,NULL,14,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100303,110076,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,NULL,0.416,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100304,110078,SSI: Colon Observed Cases,HAI_3_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100305,110079,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100306,110082,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100307,110083,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100308,110086,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,14,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100309,110087,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,0.103,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H10031,110089,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100310,110091,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100311,110092,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,10/1/12,9/30/13
H100312,110095,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100313,110100,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100314,110101,MRSA Patient Days,HAI_5_DOPC_DAYS,NULL,7658,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100315,110104,MRSA Predicted Cases,HAI_5_ELIGCASES,NULL,0.275,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100316,110105,MRSA Observed Cases,HAI_5_NUMERATOR,NULL,0,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100317,110107,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,NULL,NULL,13 - Results cannot be calculated for this reporting period.,1/1/13,9/30/13
H100318,110109,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than U.S. National Benchmark,0.007,,1/1/13,9/30/13
H100319,110111,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than U.S. National Benchmark,1.529,,1/1/13,9/30/13
H10032,110113,C.diff Patient Days,HAI_6_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100320,110115,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than U.S. National Benchmark,7658,,1/1/13,9/30/13
H100321,110121,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than U.S. National Benchmark,3.644,,1/1/13,9/30/13
H100322,110122,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than U.S. National Benchmark,1,,1/1/13,9/30/13
H100323,110124,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than U.S. National Benchmark,0.274,,1/1/13,9/30/13
H100324,110125,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,No Different than U.S. National Benchmark,0.197,,10/1/12,9/30/13
